dimension,value,sample_size,verified_accuracy,tradeable_accuracy,tradeable_count,win_loss_ratio,median_absolute_error
ticker,TSLA,1515,0.6825082508250825,0.7201365187713311,879,4.019804639586002,0.01824706833805102
ticker,RELIANCE.BSE,1454,0.6162310866574966,0.6753846153846154,650,2.732959700843457,0.017581174060020927
ticker,AMZN,1371,0.62436177972283,0.6574074074074074,540,2.7713220553582105,0.015315220811916583
ticker,NIFTY,1393,0.47882268485283563,0.5346534653465347,101,2.0783681106752097,0.016647827139253325
ticker,MSFT,1413,0.5958952583156405,0.4690721649484536,194,0.9353476086781195,0.015495433055273622
ticker,AAPL,1591,0.5021998742928976,0.44884488448844884,303,1.0594029141052201,0.018027790691668006
ticker,GOOGL,1413,0.5010615711252654,0.375,64,0.6512902868534713,0.016908344733242153
timeframe_days,90,342,0.6900584795321637,0.7894736842105263,95,8.11461504648097,0.03753018494268827
timeframe_days,30,4473,0.5951263134361726,0.6422250316055625,1582,3.021543866787439,0.022339435308718552
timeframe_days,7,5335,0.5443298969072164,0.6081593927893738,1054,1.316121164684875,0.01424075125122538
market_regime,bull,2208,0.5919384057971014,0.7167449139280125,639,4.759119387399928,0.017581857181795894
market_regime,sideways,5427,0.5723235673484429,0.6350415512465374,1444,2.071240676090065,0.016334245430287154
market_regime,bear,2515,0.5522862823061631,0.5509259259259259,648,2.4427925235942496,0.017188773727727914
setup_label,general,10150,0.5716256157635468,0.6341999267667521,2731,2.386533094197064,0.016867693718822678
